municipio,uf,estado,regiao,populacao,renda_media_mensal,pib_anual_mil_reais,pib_per_capita_reais
Boa Novo,SP,São Paulo,Sudeste,1744,2384.92,73251.57,42002.05
Cruz Bonito do Leste,SP,São Paulo,Sudeste,4494,1715.72,136418.13,30355.61
Novo Novo do Leste,SC,Santa Catarina,Sul,21328,1570.28,489238.28,22938.78
São Feliz de Minas,RJ,Rio de Janeiro,Sudeste,17434,1760.74,512753.31,29411.11
Monte do Vale do Oeste,MT,Mato Grosso,Centro-Oeste,14290,1835.76,314617.16,22016.6
Alto Branco,BA,Bahia,Nordeste,8253,1154.43,127965.9,15505.38
Coração Horizonte,TO,Tocantins,Norte,5334,732.89,46034.93,8630.47
Campo Feliz do Cerrado,BA,Bahia,Nordeste,289252,1258.68,6519642.7,22539.66
Barra Esperança Paulista,SP,São Paulo,Sudeste,780,2010.13,26275.74,33686.85
Vila dos Campos do Leste,PR,Paraná,Sul,22778,2499.94,683227.47,29995.06
Serra Azul,BA,Bahia,Nordeste,62651,751.84,577493.01,9217.62
Cruz das Flores Paulista,MT,Mato Grosso,Centro-Oeste,49174,1376.99,947490.7,19268.12
Vila Grande da Mata,PR,Paraná,Sul,32101,1901.67,1095608.52,34130.04
Cruz Real Paulista,SC,Santa Catarina,Sul,5936,1338.01,113306.37,19088.0
Bela Alegre Central,MS,Mato Grosso do Sul,Centro-Oeste,3165,1508.61,64529.58,20388.49
Alto da Serra das Palmeiras,RS,Rio Grande do Sul,Sul,17959,1571.46,518203.39,28854.8
Bela das Flores do Cerrado,MG,Minas Gerais,Sudeste,46364,2228.15,1605534.33,34628.9
Jaboti Azul Colonial,BA,Bahia,Nordeste,117155,758.84,1008307.48,8606.61
Vale Novo,MG,Minas Gerais,Sudeste,18241,1741.51,482431.1,26447.62
Serra Branco das Palmeiras,BA,Bahia,Nordeste,1342,558.15,12925.2,9631.3
Novo Claro do Leste,TO,Tocantins,Norte,14799,1292.07,270719.74,18293.11
Serra Grande do Cerrado,SC,Santa Catarina,Sul,4549,2460.13,154493.45,33962.07
Campo Aurora,CE,Ceará,Nordeste,40493,589.76,314798.68,7774.15
Barra Novo do Campo,BA,Bahia,Nordeste,31267,603.72,247014.32,7900.16
Alto Claro do Oeste,PR,Paraná,Sul,6348,2397.82,235668.72,37124.88
Ribeirão do Vale das Palmeiras,RS,Rio Grande do Sul,Sul,6713,2181.47,249262.59,37131.33
Ipê Alegre,PR,Paraná,Sul,91480,1105.46,1685151.98,18420.99
Palmeira Branco do Oeste,MG,Minas Gerais,Sudeste,17802,1279.26,380616.26,21380.53
São Dourado Maior,MG,Minas Gerais,Sudeste,17588,1533.73,473283.31,26909.44
Vale Vitória Colonial,GO,Goiás,Centro-Oeste,5813,1812.07,182948.63,31472.33
Jaboti União da Mata,PA,Pará,Norte,3281,1252.07,54747.4,16686.19
Boa Vitória Maior,MG,Minas Gerais,Sudeste,2945,2380.06,134404.06,45638.05
Alto Preto Central,MG,Minas Gerais,Sudeste,17559,1207.54,317901.74,18104.77
Lagoa Redonda,AL,Alagoas,Nordeste,20547,1211.82,298010.63,14503.85
Vila da Serra do Leste,MG,Minas Gerais,Sudeste,11719,2189.18,325172.87,27747.49
Aracê Dourado do Campo,ES,Espírito Santo,Sudeste,1078,1383.51,28608.7,26538.68
Cachoeira Bonita do Leste,SP,São Paulo,Sudeste,3593,1730.53,67715.3,18846.45
Campo Formosa Maior,PR,Paraná,Sul,17916,1822.93,444975.55,24836.77
Cruz do Sul Colonial,PB,Paraíba,Nordeste,3598,721.55,34617.63,9621.35
Monte Aurora Central,MG,Minas Gerais,Sudeste,1695,1381.59,27060.62,15964.97
Aracê Horizonte da Mata,MG,Minas Gerais,Sudeste,23047,1721.24,561946.43,24382.63
Porto da Serra Maior,MT,Mato Grosso,Centro-Oeste,35581,1370.43,817268.41,22969.24
Alto Preto das Palmeiras,MG,Minas Gerais,Sudeste,23348,1579.09,587410.27,25158.91
Santa Verde de Minas,BA,Bahia,Nordeste,5425,1083.65,101800.27,18765.03
Boa União da Mata,MA,Maranhão,Nordeste,3665,814.07,36216.08,9881.6
São Alegre do Cerrado,MG,Minas Gerais,Sudeste,10806,1763.47,338521.06,31327.14
Vila Alegre Menor,MG,Minas Gerais,Sudeste,46334,1719.47,1053431.9,22735.61
São das Flores do Cerrado,BA,Bahia,Nordeste,11584,620.3,132777.71,11462.16
Ipê Grande,GO,Goiás,Centro-Oeste,21813,1658.05,558329.32,25596.17
Bela dos Campos da Mata,TO,Tocantins,Norte,4475,596.65,42575.53,9514.08
Alto Dourado de Minas,RO,Rondônia,Norte,32022,924.83,551715.37,17229.26
Rio Aurora Central,MG,Minas Gerais,Sudeste,18211,1739.74,443928.83,24376.96
Ipê Feliz do Campo,BA,Bahia,Nordeste,79951,864.0,947570.86,11851.9
Palmeira Verde,SP,São Paulo,Sudeste,13484,1352.74,224313.6,16635.54
Nova Feliz do Cerrado,BA,Bahia,Nordeste,12400,1221.78,185160.31,14932.28
Boa Bonita,PI,Piauí,Nordeste,1230,985.55,18102.84,14717.76
Cachoeira Alegre Central,SP,São Paulo,Sudeste,32946,1309.63,536742.97,16291.6
Cachoeira dos Campos do Oeste,RJ,Rio de Janeiro,Sudeste,7943,1299.53,140446.18,17681.76
Barra Bonita do Campo,SC,Santa Catarina,Sul,5854,2067.94,217974.67,37235.17
Santo Vitória,AM,Amazonas,Norte,17747,1275.92,359164.45,20238.04
Rio Formosa,SP,São Paulo,Sudeste,8675,1508.35,193572.18,22313.8
Rio Belo das Palmeiras,ES,Espírito Santo,Sudeste,5435,1178.17,70574.42,12985.17
Boa Bonito das Palmeiras,PR,Paraná,Sul,7534,2064.66,290932.75,38615.97
Palmeira Aurora de Minas,RS,Rio Grande do Sul,Sul,14924,1669.65,367973.95,24656.52
Rio Claro,SC,Santa Catarina,Sul,4435,1143.62,96170.24,21684.38
Boa do Sul,CE,Ceará,Nordeste,3591,998.95,58985.79,16426.01
Boa Azul Maior,PR,Paraná,Sul,4451,1272.37,94177.34,21158.69
Vale Bonita do Cerrado,ES,Espírito Santo,Sudeste,22607,2416.09,654493.14,28950.91
Porto Formosa,PI,Piauí,Nordeste,13973,1075.97,259509.22,18572.19
Vila Claro do Campo,PR,Paraná,Sul,3125,1625.21,85140.41,27244.93
Pinheiro Azul da Mata,PA,Pará,Norte,18024,890.29,268804.93,14913.72
Palmeira Dourado Menor,RS,Rio Grande do Sul,Sul,18096,2206.7,479419.12,26493.1
Cachoeira Bonito do Cerrado,PR,Paraná,Sul,3375,2455.92,147357.66,43661.53
Pinheiro Claro,GO,Goiás,Centro-Oeste,67595,1667.81,1962248.33,29029.49
Boa do Vale,SP,São Paulo,Sudeste,9343,1802.81,321080.87,34365.93
Rio Horizonte do Leste,PI,Piauí,Nordeste,4023,1060.96,55350.3,13758.46
Barra das Flores do Leste,CE,Ceará,Nordeste,10633,957.96,160064.27,15053.54
Vila Branco do Cerrado,MA,Maranhão,Nordeste,13628,906.4,184981.78,13573.66
Barra Alegre de Minas,TO,Tocantins,Norte,36530,1142.11,627895.85,17188.5
Novo Alegre do Oeste,RS,Rio Grande do Sul,Sul,2556,2334.23,67773.7,26515.53
Porto Belo do Leste,PI,Piauí,Nordeste,4104,1127.43,65773.3,16026.63
Palmeira Novo,SP,São Paulo,Sudeste,17236,1009.78,245573.82,14247.73
Barra Azul de Minas,MG,Minas Gerais,Sudeste,2945,2143.26,109898.83,37317.09
Boa Vitória,PA,Pará,Norte,14761,1002.78,169636.12,11492.18
Monte Horizonte Maior,SE,Sergipe,Nordeste,2024,968.39,23718.96,11718.85
Jaboti Esperança,PI,Piauí,Nordeste,8666,1293.39,201648.66,23268.94
Cruz Redonda,SP,São Paulo,Sudeste,60713,1649.14,1919612.62,31617.82
Pinheiro Branco de Minas,MG,Minas Gerais,Sudeste,8669,2259.14,353773.06,40808.98
Bela Preto do Oeste,BA,Bahia,Nordeste,2021,557.95,17769.88,8792.62
Ribeirão Real do Campo,ES,Espírito Santo,Sudeste,2292,2471.69,75162.33,32793.34
Vale Preto Central,SC,Santa Catarina,Sul,4667,1043.63,65683.42,14074.01
Ribeirão Preto Colonial,MG,Minas Gerais,Sudeste,3320,1253.24,71240.51,21457.98
Lagoa Claro Maior,PR,Paraná,Sul,14772,1237.97,284746.59,19276.1
Serra Alegre das Palmeiras,ES,Espírito Santo,Sudeste,11560,1864.04,340858.73,29486.05
Ribeirão das Flores de Minas,SP,São Paulo,Sudeste,48147,2053.28,1100911.47,22865.63
Bela do Vale,SP,São Paulo,Sudeste,25498,1364.58,615624.04,24144.01
Novo dos Campos Maior,SP,São Paulo,Sudeste,6899,1088.94,89520.21,12975.82
Rio Bonito,RS,Rio Grande do Sul,Sul,4443,2538.34,166485.95,37471.52
Boa Horizonte Menor,MS,Mato Grosso do Sul,Centro-Oeste,79628,2003.96,2185536.95,27446.84
Pinheiro Redonda Maior,PR,Paraná,Sul,9325,1697.74,207126.22,22211.93
Aracê Feliz Maior,RS,Rio Grande do Sul,Sul,89984,2312.92,2831116.38,31462.44
Novo Bonito do Cerrado,SP,São Paulo,Sudeste,8278,2251.99,206726.75,24973.03
Pinheiro Horizonte Colonial,TO,Tocantins,Norte,83637,1427.91,2222304.2,26570.83
Monte Redonda Colonial,CE,Ceará,Nordeste,34576,1018.79,613350.69,17739.2
Alto Horizonte Maior,RS,Rio Grande do Sul,Sul,25628,1553.93,497217.19,19401.33
Ipê Azul Central,MG,Minas Gerais,Sudeste,1312,2133.93,38127.5,29060.59
Cruz do Norte do Cerrado,BA,Bahia,Nordeste,16272,780.8,186850.33,11482.94
Cachoeira Horizonte,PE,Pernambuco,Nordeste,5546,810.53,80605.38,14533.97
Santa Verde do Leste,MG,Minas Gerais,Sudeste,3430,2262.34,122272.77,35648.04
Santa dos Campos,PA,Pará,Norte,6550,621.1,77926.05,11897.11
Aracê Esperança Central,MA,Maranhão,Nordeste,8907,546.63,81622.29,9163.84
Barra Novo Paulista,PI,Piauí,Nordeste,6046,778.78,66807.44,11049.86
Bela do Vale do Campo,PB,Paraíba,Nordeste,6943,919.91,105914.55,15254.87
Monte Dourado das Palmeiras,PR,Paraná,Sul,9418,1201.89,185365.93,19682.09
Bela Horizonte,MA,Maranhão,Nordeste,4109,828.08,47380.04,11530.8
Vale Belo Maior,SP,São Paulo,Sudeste,2656,1230.67,43598.12,16414.95
Cruz Branco do Cerrado,AL,Alagoas,Nordeste,6361,723.68,67157.29,10557.66
Nova das Flores Menor,PI,Piauí,Nordeste,18147,606.08,124899.28,6882.64
Monte dos Campos da Mata,MG,Minas Gerais,Sudeste,11274,1670.52,238465.51,21151.81
Ipê Dourado do Campo,PI,Piauí,Nordeste,6247,1138.41,105483.46,16885.46
Ribeirão das Flores do Cerrado,PI,Piauí,Nordeste,11701,534.42,96690.82,8263.47
Vale Esperança da Mata,PI,Piauí,Nordeste,408124,762.51,5631888.2,13799.45
Coração Horizonte do Cerrado,PA,Pará,Norte,24279,641.27,255957.98,10542.36
Alto Dourado Central,PA,Pará,Norte,6107,694.13,53961.92,8836.08
Vila Alegre,RS,Rio Grande do Sul,Sul,8800,1301.87,179626.82,20412.14
Ipê Dourado,PB,Paraíba,Nordeste,2753,775.53,25754.21,9354.96
Monte Branco,MG,Minas Gerais,Sudeste,9540,2067.42,339012.64,35535.92
Novo dos Campos de Minas,RS,Rio Grande do Sul,Sul,17298,1281.32,382079.13,22088.05
Monte Novo Central,PE,Pernambuco,Nordeste,3946,1160.68,61501.97,15585.9
Vale Novo do Cerrado,PR,Paraná,Sul,4291,2394.63,119728.3,27902.19
Jaboti Alegre do Cerrado,ES,Espírito Santo,Sudeste,32676,2230.63,1256312.64,38447.57
Jaboti Feliz do Campo,GO,Goiás,Centro-Oeste,2266,1682.72,62470.43,27568.59
Aracê União das Palmeiras,MG,Minas Gerais,Sudeste,32688,2253.83,931125.94,28485.25
Nova Bonito das Palmeiras,MA,Maranhão,Nordeste,32327,978.77,509010.82,15745.69
Aracê do Norte do Oeste,PA,Pará,Norte,21052,881.8,349941.87,16622.74
Serra do Vale Menor,MT,Mato Grosso,Centro-Oeste,21160,999.95,308962.02,14601.23
Boa Alegre da Mata,AC,Acre,Norte,9728,830.35,115063.98,11828.12
Barra dos Campos,TO,Tocantins,Norte,48439,1407.0,1235381.41,25503.86
Pinheiro do Vale do Leste,RS,Rio Grande do Sul,Sul,20621,1107.38,314067.63,15230.48
Ipê do Sul da Mata,BA,Bahia,Nordeste,5337,1105.85,110684.19,20739.03
Alto Claro das Palmeiras,RS,Rio Grande do Sul,Sul,7451,1891.62,264662.66,35520.42
Aracê Claro Paulista,PB,Paraíba,Nordeste,35645,643.47,391188.42,10974.57
Vila Vista do Campo,MT,Mato Grosso,Centro-Oeste,11763,2161.97,480190.46,40822.11
Lagoa Alegre das Palmeiras,SC,Santa Catarina,Sul,16462,2509.22,608197.56,36945.54
Porto das Flores Maior,MG,Minas Gerais,Sudeste,18821,1215.09,271585.52,14429.92
Nova Belo Colonial,MG,Minas Gerais,Sudeste,6916,1295.52,128004.43,18508.45
Cachoeira da Serra do Cerrado,MG,Minas Gerais,Sudeste,53263,1809.29,1564985.41,29382.22
Pinheiro Formosa do Oeste,SC,Santa Catarina,Sul,44466,2487.42,1719338.36,38666.36
Ipê do Sul Maior,RS,Rio Grande do Sul,Sul,3067,2082.76,122617.83,39979.73
Campo do Vale,BA,Bahia,Nordeste,2411,700.19,27017.38,11205.88
Rio do Norte,RS,Rio Grande do Sul,Sul,20102,2012.77,544546.7,27089.18
Vila Belo das Palmeiras,SC,Santa Catarina,Sul,9727,2062.92,267710.11,27522.37
Palmeira do Vale do Cerrado,TO,Tocantins,Norte,4830,787.16,66670.05,13803.32
Santa Bonito de Minas,MG,Minas Gerais,Sudeste,65567,1398.35,1723720.35,26289.45
Bela União do Oeste,BA,Bahia,Nordeste,18844,934.28,216289.31,11477.89
Ipê Redonda do Leste,MG,Minas Gerais,Sudeste,71552,1611.98,1273448.07,17797.52
São Redonda de Minas,PR,Paraná,Sul,1609,1174.37,27206.33,16908.84
Santo Claro,CE,Ceará,Nordeste,6117,873.89,60174.99,9837.34
Pinheiro Vista das Palmeiras,MA,Maranhão,Nordeste,32451,657.23,262457.3,8087.8
Ipê Branco do Cerrado,MT,Mato Grosso,Centro-Oeste,1065,2149.26,28468.94,26731.4
Vale Aurora de Minas,RS,Rio Grande do Sul,Sul,26441,1885.94,894993.92,33848.72
Vale Alegre das Palmeiras,RS,Rio Grande do Sul,Sul,242001,1730.82,7200464.61,29753.86
Nova do Vale de Minas,MG,Minas Gerais,Sudeste,2363,1424.68,47659.57,20169.09
Santo Alegre do Cerrado,MA,Maranhão,Nordeste,7681,574.52,70962.07,9238.65
Bela Vitória da Mata,BA,Bahia,Nordeste,13071,1096.52,229835.95,17583.65
Aracê Dourado do Cerrado,PE,Pernambuco,Nordeste,6838,1050.42,78908.49,11539.7
Pinheiro Belo do Cerrado,RS,Rio Grande do Sul,Sul,13270,2540.87,451541.05,34027.21
Coração das Flores do Campo,MG,Minas Gerais,Sudeste,46035,2442.12,1353011.35,29390.93
Pinheiro Formosa da Mata,RS,Rio Grande do Sul,Sul,19213,1833.55,646944.54,33672.23
Alto Novo,PB,Paraíba,Nordeste,34000,798.11,501410.06,14747.35
Vale Verde de Minas,SP,São Paulo,Sudeste,2254,1401.99,36854.05,16350.51
Cruz da Serra do Campo,SC,Santa Catarina,Sul,1018,1229.65,13572.74,13332.75
Aracê Verde do Cerrado,RS,Rio Grande do Sul,Sul,30274,2310.52,1058606.74,34967.52
São Azul do Campo,RS,Rio Grande do Sul,Sul,6471,2155.97,185549.94,28674.08
Coração Bonito do Oeste,GO,Goiás,Centro-Oeste,6034,943.56,93929.34,15566.68
Jaboti Horizonte do Cerrado,GO,Goiás,Centro-Oeste,30280,1176.11,528850.34,17465.33
Novo Esperança Maior,RN,Rio Grande do Norte,Nordeste,46347,1264.21,958711.29,20685.51
Ipê União do Leste,SP,São Paulo,Sudeste,17436,1047.18,321509.26,18439.39
Vila Esperança do Campo,MG,Minas Gerais,Sudeste,6944,1752.74,191496.77,27577.3
Cachoeira Novo da Mata,SP,São Paulo,Sudeste,67470,1115.97,1087990.03,16125.54
Vale Grande do Leste,CE,Ceará,Nordeste,59012,1099.84,1025003.32,17369.4
Coração do Norte Colonial,MA,Maranhão,Nordeste,789,795.59,10159.93,12876.97
Santa Vista de Minas,MG,Minas Gerais,Sudeste,16055,1661.72,309481.42,19276.33
Porto Feliz do Leste,TO,Tocantins,Norte,3709,1316.08,61454.91,16569.13
Coração Esperança Paulista,PA,Pará,Norte,68131,1107.07,1149253.28,16868.29
Nova do Norte do Campo,SP,São Paulo,Sudeste,14267,1536.13,398664.34,27943.11
Cachoeira Aurora Central,MG,Minas Gerais,Sudeste,62881,1817.3,1235576.0,19649.43
Palmeira Claro Paulista,PI,Piauí,Nordeste,9423,1152.02,201871.33,21423.25
Ribeirão Real,RS,Rio Grande do Sul,Sul,11434,1870.91,258970.72,22649.18
Ipê Redonda,PB,Paraíba,Nordeste,17400,974.66,319973.18,18389.26
Barra Formosa das Palmeiras,RO,Rondônia,Norte,16094,1039.4,267440.9,16617.43
Pinheiro Vitória Colonial,MG,Minas Gerais,Sudeste,15864,1620.87,384825.03,24257.76
Santo Esperança do Cerrado,RS,Rio Grande do Sul,Sul,9832,2208.87,327787.15,33338.81
Boa dos Campos Maior,MT,Mato Grosso,Centro-Oeste,7692,2101.5,279268.5,36306.36
Cachoeira Claro Central,MG,Minas Gerais,Sudeste,42044,2239.32,1504649.75,35787.5
Campo Real da Mata,RS,Rio Grande do Sul,Sul,5863,1904.28,182070.1,31054.08
Pinheiro Azul de Minas,MG,Minas Gerais,Sudeste,12899,1411.72,256610.38,19893.82
São Vista,AM,Amazonas,Norte,23945,1261.8,496575.6,20738.17
Ribeirão União das Palmeiras,MA,Maranhão,Nordeste,46180,1250.17,708747.67,15347.5
Alto da Serra Menor,PR,Paraná,Sul,35805,2333.68,1590281.28,44415.06
Nova Vitória do Cerrado,BA,Bahia,Nordeste,1913,860.05,20246.64,10583.71
Palmeira do Sul de Minas,MG,Minas Gerais,Sudeste,15711,1303.36,228031.58,14514.14
Santo do Norte do Cerrado,TO,Tocantins,Norte,780,1286.77,11974.5,15351.92
Jaboti Vitória Paulista,GO,Goiás,Centro-Oeste,6613,1464.18,179478.99,27140.33
Campo Horizonte do Cerrado,MG,Minas Gerais,Sudeste,52156,2343.87,1492190.64,28610.14
Santo Vista,RN,Rio Grande do Norte,Nordeste,12831,750.68,129194.69,10068.95
Alto Feliz de Minas,PR,Paraná,Sul,4591,1184.29,78856.71,17176.37
Cruz Novo,PR,Paraná,Sul,9501,2547.31,375616.59,39534.43
Palmeira do Sul Colonial,MG,Minas Gerais,Sudeste,2893,1298.16,44130.4,15254.2
Campo Real Maior,RS,Rio Grande do Sul,Sul,2521,1504.34,51585.2,20462.2
Palmeira Claro,RS,Rio Grande do Sul,Sul,25283,1564.48,518626.35,20512.85
Jaboti Bonita Colonial,BA,Bahia,Nordeste,125058,1221.57,2825951.93,22597.13
Santo Belo,PE,Pernambuco,Nordeste,24081,1232.88,332620.71,13812.58
Jaboti Grande de Minas,PE,Pernambuco,Nordeste,6844,807.11,94951.66,13873.71
Nova Real Central,BA,Bahia,Nordeste,83935,1204.98,1120858.79,13353.89
Alto Vista da Mata,MT,Mato Grosso,Centro-Oeste,12242,1503.31,235316.71,19222.08
Ribeirão Vitória Central,PE,Pernambuco,Nordeste,20351,660.11,173063.52,8503.93
Coração Esperança do Oeste,PA,Pará,Norte,2382,1190.99,38777.04,16279.19
São Vitória,RS,Rio Grande do Sul,Sul,7201,1892.89,194584.01,27021.8
Lagoa Real Paulista,PB,Paraíba,Nordeste,1996,868.69,31583.32,15823.31
Lagoa Novo das Palmeiras,PR,Paraná,Sul,83968,1186.62,1121649.55,13358.06
Bela Vista do Cerrado,BA,Bahia,Nordeste,27033,1134.71,559576.83,20699.77
Campo Aurora do Campo,PA,Pará,Norte,41503,941.48,563300.13,13572.52
Pinheiro do Vale das Palmeiras,MG,Minas Gerais,Sudeste,21625,1354.06,532121.25,24606.76
Pinheiro Aurora das Palmeiras,SP,São Paulo,Sudeste,125060,1699.37,3101471.44,24799.87
Barra do Sul do Oeste,PE,Pernambuco,Nordeste,11093,1073.31,149499.7,13476.94
Monte Formosa do Cerrado,MG,Minas Gerais,Sudeste,6584,1741.86,146123.63,22193.75
Porto Horizonte do Campo,SC,Santa Catarina,Sul,1636,1344.02,27730.54,16950.21
Coração Vista Menor,RS,Rio Grande do Sul,Sul,15915,2260.01,420901.78,26446.86
Monte União da Mata,RS,Rio Grande do Sul,Sul,21737,1476.42,513611.27,23628.43
Nova Formosa do Leste,BA,Bahia,Nordeste,76311,1102.87,1190629.23,15602.33
Jaboti União de Minas,BA,Bahia,Nordeste,17620,945.48,297608.84,16890.4
São da Serra,MG,Minas Gerais,Sudeste,13489,2213.48,514292.38,38126.8
Porto Real da Mata,CE,Ceará,Nordeste,5881,1103.36,79646.47,13543.01
Novo Real do Oeste,PR,Paraná,Sul,5566,1757.59,177267.06,31848.2
Aracê Formosa Paulista,SC,Santa Catarina,Sul,20488,1172.73,368291.61,17975.97
Porto Belo das Palmeiras,MG,Minas Gerais,Sudeste,10872,2339.46,315077.73,28980.66
São Feliz do Campo,RS,Rio Grande do Sul,Sul,2133,1759.27,60717.66,28465.85
Porto União da Mata,MG,Minas Gerais,Sudeste,10696,2210.49,448491.59,41930.78
Porto do Sul Colonial,MT,Mato Grosso,Centro-Oeste,3059,2208.44,113089.9,36969.57
Aracê União Maior,MT,Mato Grosso,Centro-Oeste,59426,1252.03,1097057.23,18460.9
São União das Palmeiras,SP,São Paulo,Sudeste,37737,1759.09,1253988.34,33229.68
Ribeirão Novo de Minas,PR,Paraná,Sul,43335,1226.54,987307.65,22783.15
Cruz Formosa Colonial,BA,Bahia,Nordeste,16116,919.69,253723.31,15743.57
Nova Grande Paulista,BA,Bahia,Nordeste,7634,1051.02,144542.58,18934.06
Vale Preto do Cerrado,SC,Santa Catarina,Sul,4864,1788.62,99557.7,20468.28
Nova Dourado Maior,RS,Rio Grande do Sul,Sul,52640,2157.56,2019239.65,38359.42
Campo Bonito do Cerrado,RS,Rio Grande do Sul,Sul,10510,1122.15,222640.27,21183.66
Bela do Norte do Oeste,RJ,Rio de Janeiro,Sudeste,19922,2380.36,670535.82,33658.06
Palmeira Real Colonial,MS,Mato Grosso do Sul,Centro-Oeste,23840,2182.51,931123.07,39057.18
Cruz Bonita Colonial,RR,Roraima,Norte,1793,776.16,23971.5,13369.49
Porto Feliz Central,TO,Tocantins,Norte,12541,1064.63,180119.91,14362.48
Serra Feliz do Leste,CE,Ceará,Nordeste,4062,1114.52,65972.75,16241.45
Serra Azul do Leste,MG,Minas Gerais,Sudeste,12802,1286.18,201651.77,15751.58
Coração Claro das Palmeiras,MS,Mato Grosso do Sul,Centro-Oeste,68065,1850.83,2242671.45,32948.97
Palmeira do Norte Menor,PE,Pernambuco,Nordeste,16571,1291.59,345522.77,20851.05
Pinheiro Bonito Central,PB,Paraíba,Nordeste,17992,899.31,195243.65,10851.69
São Novo Colonial,RS,Rio Grande do Sul,Sul,9733,2117.75,296860.38,30500.4
Pinheiro Claro do Oeste,AL,Alagoas,Nordeste,780,1262.75,12221.79,15668.96
Porto das Flores do Leste,PB,Paraíba,Nordeste,44465,1266.02,1048468.51,23579.64
Cruz Azul da Mata,GO,Goiás,Centro-Oeste,3367,1894.15,104150.36,30932.69
Monte Feliz Menor,MG,Minas Gerais,Sudeste,4934,2129.02,134633.33,27286.85
Santo dos Campos do Leste,PR,Paraná,Sul,83846,2356.95,2638237.11,31465.27
Santo Formosa,AC,Acre,Norte,91617,910.34,1041668.66,11369.82
São Claro,RN,Rio Grande do Norte,Nordeste,18469,1235.96,424332.99,22975.42
Porto Grande das Palmeiras,PI,Piauí,Nordeste,26995,1233.01,442451.01,16390.11
Monte União,MG,Minas Gerais,Sudeste,13455,1437.48,273550.64,20330.78
Santa Formosa das Palmeiras,SP,São Paulo,Sudeste,8330,2097.64,330379.15,39661.36
São Esperança Colonial,CE,Ceará,Nordeste,44701,1205.97,831657.46,18604.9
Nova Bonita do Oeste,PB,Paraíba,Nordeste,5295,645.8,63201.24,11936.02
Campo do Sul do Cerrado,SC,Santa Catarina,Sul,36340,1842.78,762912.35,20993.74
Ribeirão Claro de Minas,AL,Alagoas,Nordeste,177836,613.09,1382752.21,7775.43
Cruz Alegre Central,GO,Goiás,Centro-Oeste,19259,1905.21,469064.68,24355.61
Pinheiro das Flores da Mata,SP,São Paulo,Sudeste,14540,1664.98,274302.09,18865.34
Vila da Serra,MA,Maranhão,Nordeste,2268,1131.52,29216.38,12882.0
Cruz Aurora da Mata,PI,Piauí,Nordeste,3650,927.25,50742.09,13901.94
Aracê Claro,SC,Santa Catarina,Sul,23056,2547.84,747529.38,32422.34
Rio União Menor,ES,Espírito Santo,Sudeste,21543,1972.7,675635.44,31362.18
Ipê Horizonte de Minas,PB,Paraíba,Nordeste,3209,660.75,25088.93,7818.3
Cruz Claro das Palmeiras,GO,Goiás,Centro-Oeste,6318,1065.48,126769.46,20064.81
Lagoa do Norte Maior,MG,Minas Gerais,Sudeste,11721,2071.76,340452.74,29046.39
Campo Esperança Paulista,MG,Minas Gerais,Sudeste,9099,1745.97,292606.97,32158.15
Jaboti Claro do Oeste,SP,São Paulo,Sudeste,8211,2236.08,345662.24,42097.46
Santa Redonda,AM,Amazonas,Norte,11924,986.68,133445.69,11191.35
Ribeirão Feliz Paulista,GO,Goiás,Centro-Oeste,6618,930.81,117451.99,17747.35
Ipê do Sul de Minas,SP,São Paulo,Sudeste,5841,1604.06,135152.41,23138.57
Cruz Preto Central,RS,Rio Grande do Sul,Sul,6947,1925.48,238001.25,34259.57
Jaboti Redonda de Minas,SE,Sergipe,Nordeste,1479,957.96,22153.74,14978.86
Vila Real do Cerrado,RJ,Rio de Janeiro,Sudeste,28447,1661.67,743436.11,26134.08
Rio Vista do Oeste,PE,Pernambuco,Nordeste,5095,1142.16,81559.41,16007.74
Monte Esperança do Cerrado,TO,Tocantins,Norte,22342,1406.81,382240.45,17108.6
Vale dos Campos do Leste,PR,Paraná,Sul,26178,1805.85,874899.01,33421.16
Porto Novo do Cerrado,MS,Mato Grosso do Sul,Centro-Oeste,893,2299.61,28876.19,32336.16
Vale das Flores,GO,Goiás,Centro-Oeste,4011,1663.37,103230.25,25736.79
Vale Formosa da Mata,RN,Rio Grande do Norte,Nordeste,8167,1308.53,176802.59,21648.41
Palmeira Belo do Leste,SP,São Paulo,Sudeste,17474,1705.77,340923.3,19510.32
São Branco do Cerrado,PB,Paraíba,Nordeste,56082,880.41,807195.26,14393.13
Vale Grande da Mata,TO,Tocantins,Norte,31570,1257.83,680134.09,21543.68
Novo Belo Paulista,RO,Rondônia,Norte,21617,780.62,232080.17,10736.0
Alto Bonito do Leste,SP,São Paulo,Sudeste,9256,1415.49,186542.15,20153.65
Cruz do Vale Menor,PR,Paraná,Sul,3486,1048.39,53371.82,15310.33
Coração Alegre Central,SP,São Paulo,Sudeste,19778,2377.22,709116.32,35853.79
Jaboti da Serra,RS,Rio Grande do Sul,Sul,3711,1539.01,103826.71,27978.09
Nova Claro das Palmeiras,BA,Bahia,Nordeste,42443,1189.24,819416.7,19306.29
Cachoeira Bonito Colonial,BA,Bahia,Nordeste,4253,731.5,53070.24,12478.31
Rio Vista do Campo,AC,Acre,Norte,13934,1426.3,340278.99,24420.77
Lagoa Vista do Campo,PR,Paraná,Sul,1480,1788.14,37242.42,25163.8
